
0x+0y
0x+0y-1
0x+0y+1
2x+0y
1x+1y
1x+0y
1x+0y-1
1x+0y+1
3x+0y
2x+1y
1x+2y
0x+2y
0x+1y
0x+1y-1
0x+1y+1
0x+3y
0x+0y-2
2x+0y-1
1x+1y-1
0x+2y-1
0x+0y+2
2x+0y+1
1x+1y+1
0x+2y+1
4x+0y
3x+1y
2x+2y
1x+3y
0x+4y
